Year,FIPS,Confirmed,Probable,Total
2009,34033,43.0,2.0,45.0
2009,34035,237.0,19.0,256.0
2009,34037,342.0,92.0,434.0
2009,34039,87.0,1.0,88.0
2009,34041,292.0,0.0,292.0
2009,36001,264.0,12.0,276.0
2009,36003,5.0,0.0,5.0
2009,36005,55.0,19.0,74.0
2009,36007,17.0,7.0,24.0
2009,36009,8.0,1.0,9.0
2009,36011,9.0,1.0,10.0
2009,36013,5.0,1.0,6.0
2009,36017,5.0,1.0,6.0
2009,36019,4.0,1.0,5.0
2009,36021,252.0,104.0,356.0
2009,36025,5.0,4.0,9.0
2009,36027,304.0,109.0,413.0
2009,36029,12.0,2.0,14.0
2009,36031,31.0,12.0,43.0
2009,36033,4.0,1.0,5.0
2009,36035,9.0,1.0,10.0
2009,36039,196.0,51.0,247.0
2009,36043,12.0,3.0,15.0
2009,36045,39.0,10.0,49.0
2009,36047,156.0,99.0,255.0
2009,36053,4.0,1.0,5.0
2009,36055,16.0,9.0,25.0
2009,36057,19.0,2.0,21.0
2009,36059,52.0,70.0,122.0
2009,36061,320.0,208.0,528.0
2009,36063,3.0,2.0,5.0
2009,36065,12.0,2.0,14.0
2009,36067,33.0,2.0,35.0
2009,36071,308.0,111.0,419.0
2009,36077,11.0,2.0,13.0
2009,36079,59.0,74.0,133.0
2009,36081,73.0,61.0,134.0
2009,36083,226.0,70.0,296.0
2009,36085,37.0,23.0,60.0
2009,36087,256.0,69.0,325.0
2009,36089,46.0,1.0,47.0
2009,36091,106.0,42.0,148.0
2009,36093,29.0,9.0,38.0
2009,36095,17.0,9.0,26.0
2009,36103,164.0,52.0,216.0
2009,36105,40.0,10.0,50.0
2009,36107,5.0,0.0,5.0
2009,36109,43.0,6.0,49.0
2009,36111,427.0,155.0,582.0
2009,36113,94.0,0.0,94.0
2009,36115,158.0,23.0,181.0
2009,36119,150.0,57.0,207.0
2009,37067,0.0,16.0,16.0
2009,37109,0.0,6.0,6.0
2009,37135,2.0,7.0,9.0
2009,37183,2.0,3.0,5.0
2009,38017,4.0,1.0,5.0
2009,39035,5.0,0.0,5.0
2009,41051,1.0,8.0,9.0
2009,42001,107.0,13.0,120.0
2009,42003,28.0,1.0,29.0
2009,42005,50.0,3.0,53.0
2009,42007,5.0,0.0,5.0
2009,42009,9.0,1.0,10.0
2009,42011,70.0,13.0,83.0
2009,42013,10.0,0.0,10.0
2009,42015,13.0,0.0,13.0
2009,42017,774.0,179.0,953.0
2009,42019,179.0,9.0,188.0
2009,42021,6.0,0.0,6.0
2009,42023,19.0,1.0,20.0
2009,42025,43.0,8.0,51.0
2009,42027,98.0,20.0,118.0
2009,42029,827.0,156.0,983.0
2009,42031,11.0,1.0,12.0
2009,42033,132.0,14.0,146.0
2009,42035,42.0,0.0,42.0
2009,42037,46.0,7.0,53.0
2009,42041,124.0,14.0,138.0
2009,42043,112.0,59.0,171.0
2009,42045,11.0,2.0,13.0
2009,42047,66.0,11.0,77.0
2009,42049,18.0,1.0,19.0
2009,42055,61.0,2.0,63.0
2009,42057,27.0,3.0,30.0
2009,42061,18.0,2.0,20.0
2009,42063,17.0,1.0,18.0
2009,42065,58.0,6.0,64.0
2009,42067,13.0,1.0,14.0
2009,42069,18.0,3.0,21.0
2009,42071,13.0,1.0,14.0
2009,42073,5.0,0.0,5.0
2009,42075,107.0,13.0,120.0
2009,42077,178.0,19.0,197.0
2009,42079,16.0,3.0,19.0
2009,42081,43.0,9.0,52.0
2009,42083,21.0,1.0,22.0
2009,42087,19.0,1.0,20.0
2009,42089,118.0,15.0,133.0
2009,42091,402.0,56.0,458.0
2009,42093,12.0,3.0,15.0
2009,42095,170.0,27.0,197.0
2009,42097,26.0,5.0,31.0
2009,42099,34.0,3.0,37.0
2009,42101,230.0,15.0,245.0
2009,42103,32.0,5.0,37.0
