Year,FIPS,0-19,20+,Suppressed,Unknown,Total
2008,55111,7.0,24.0,4.0,0.0,35.0
2008,55113,5.0,33.0,4.0,0.0,42.0
2008,55115,0.0,5.0,9.0,0.0,14.0
2008,55119,0.0,5.0,7.0,0.0,12.0
2008,55121,5.0,30.0,1.0,0.0,36.0
2008,55123,14.0,19.0,0.0,0.0,33.0
2008,55125,8.0,27.0,3.0,0.0,38.0
2008,55127,0.0,5.0,4.0,0.0,9.0
2008,55129,0.0,35.0,6.0,0.0,41.0
2008,55131,0.0,0.0,7.0,0.0,7.0
2008,55133,10.0,17.0,0.0,0.0,27.0
2008,55135,6.0,30.0,3.0,0.0,39.0
2008,55137,0.0,18.0,4.0,0.0,22.0
2008,55139,0.0,0.0,8.0,0.0,8.0
2008,55141,28.0,50.0,0.0,0.0,78.0
2009,06037,0.0,0.0,7.0,0.0,7.0
2009,06045,0.0,0.0,7.0,0.0,7.0
2009,06065,0.0,0.0,5.0,0.0,5.0
2009,06073,0.0,0.0,10.0,0.0,10.0
2009,06081,0.0,5.0,6.0,0.0,11.0
2009,06083,0.0,6.0,3.0,0.0,9.0
2009,06087,0.0,0.0,5.0,0.0,5.0
2009,06097,5.0,0.0,5.0,0.0,10.0
2009,09001,289.0,409.0,0.0,0.0,698.0
2009,09003,129.0,183.0,0.0,0.0,312.0
2009,09005,60.0,150.0,3.0,0.0,213.0
2009,09007,67.0,129.0,0.0,0.0,196.0
2009,09009,160.0,300.0,0.0,0.0,460.0
2009,09011,139.0,439.0,1.0,0.0,579.0
2009,09013,84.0,212.0,1.0,0.0,297.0
2009,09015,73.0,202.0,0.0,0.0,275.0
2009,10001,43.0,138.0,0.0,0.0,181.0
2009,10003,116.0,506.0,0.0,0.0,622.0
2009,10005,21.0,135.0,4.0,0.0,160.0
2009,11001,10.0,51.0,0.0,0.0,61.0
2009,12057,0.0,6.0,5.0,0.0,11.0
2009,12071,0.0,8.0,3.0,0.0,11.0
2009,12086,0.0,0.0,8.0,0.0,8.0
2009,12095,0.0,0.0,6.0,0.0,6.0
2009,12099,0.0,0.0,8.0,0.0,8.0
2009,12101,0.0,0.0,5.0,0.0,5.0
2009,12103,0.0,0.0,6.0,0.0,6.0
2009,12115,0.0,0.0,8.0,0.0,8.0
2009,13151,0.0,0.0,6.0,0.0,6.0
2009,16001,0.0,7.0,0.0,0.0,7.0
2009,17031,8.0,18.0,3.0,0.0,29.0
2009,17043,0.0,15.0,3.0,0.0,18.0
2009,17089,0.0,0.0,8.0,0.0,8.0
2009,17097,0.0,0.0,5.0,0.0,5.0
2009,17111,0.0,0.0,6.0,0.0,6.0
2009,17201,0.0,11.0,3.0,0.0,14.0
2009,18127,0.0,9.0,1.0,0.0,10.0
2009,18141,5.0,0.0,5.0,0.0,10.0
2009,19043,0.0,0.0,6.0,0.0,6.0
2009,19061,0.0,0.0,8.0,0.0,8.0
2009,19103,5.0,19.0,1.0,0.0,25.0
2009,19113,0.0,0.0,5.0,0.0,5.0
2009,19153,0.0,0.0,5.0,0.0,5.0
2009,19163,0.0,0.0,6.0,0.0,6.0
2009,20091,0.0,0.0,6.0,0.0,6.0
2009,23001,21.0,35.0,0.0,0.0,56.0
2009,23003,0.0,0.0,7.0,0.0,7.0
2009,23005,92.0,184.0,0.0,0.0,276.0
2009,23007,0.0,9.0,6.0,0.0,15.0
2009,23009,0.0,30.0,4.0,0.0,34.0
2009,23011,29.0,70.0,0.0,0.0,99.0
2009,23013,16.0,53.0,0.0,0.0,69.0
2009,23015,9.0,35.0,1.0,0.0,45.0
2009,23017,0.0,8.0,7.0,0.0,15.0
2009,23019,0.0,0.0,8.0,0.0,8.0
2009,23023,10.0,41.0,0.0,0.0,51.0
2009,23025,0.0,0.0,6.0,0.0,6.0
2009,23027,0.0,16.0,3.0,0.0,19.0
2009,23031,80.0,184.0,0.0,0.0,264.0
2009,24001,0.0,7.0,2.0,0.0,9.0
2009,24003,39.0,154.0,0.0,0.0,193.0
2009,24005,114.0,295.0,1.0,0.0,410.0
2009,24009,6.0,31.0,3.0,0.0,40.0
2009,24011,6.0,25.0,2.0,0.0,33.0
2009,24013,31.0,69.0,1.0,0.0,101.0
2009,24015,34.0,106.0,0.0,0.0,140.0
2009,24017,21.0,62.0,0.0,0.0,83.0
2009,24019,0.0,0.0,6.0,0.0,6.0
2009,24021,18.0,83.0,4.0,0.0,105.0
2009,24025,31.0,71.0,3.0,0.0,105.0
2009,24027,72.0,193.0,3.0,0.0,268.0
2009,24029,0.0,28.0,6.0,0.0,34.0
2009,24031,40.0,41.0,0.0,0.0,81.0
2009,24033,6.0,23.0,4.0,0.0,33.0
2009,24035,15.0,63.0,0.0,0.0,78.0
2009,24037,0.0,60.0,9.0,0.0,69.0
2009,24039,0.0,0.0,6.0,0.0,6.0
2009,24041,5.0,35.0,10.0,0.0,50.0
2009,24043,28.0,59.0,0.0,0.0,87.0
2009,24045,0.0,25.0,5.0,0.0,30.0
2009,24047,0.0,14.0,5.0,0.0,19.0
2009,24510,12.0,24.0,0.0,0.0,36.0
2009,25001,0.0,0.0,4.0,242.0,246.0
2009,25003,0.0,0.0,7.0,165.0,172.0
2009,25005,0.0,0.0,10.0,304.0,314.0
2009,25007,0.0,0.0,0.0,45.0,45.0
2009,25009,0.0,5.0,8.0,381.0,394.0
2009,25011,0.0,0.0,1.0,68.0,69.0
2009,25013,0.0,0.0,3.0,247.0,250.0
2009,25015,0.0,0.0,2.0,145.0,147.0
2009,25017,14.0,38.0,3.0,762.0,817.0
2009,25019,0.0,0.0,2.0,44.0,46.0
2009,25021,9.0,15.0,6.0,519.0,549.0
2009,25023,0.0,5.0,8.0,448.0,461.0
2009,25025,14.0,58.0,5.0,11.0,88.0
2009,25027,5.0,11.0,2.0,537.0,555.0
2009,26005,0.0,0.0,5.0,0.0,5.0
2009,26021,0.0,7.0,2.0,0.0,9.0
2009,26109,5.0,22.0,3.0,0.0,30.0
2009,26139,0.0,0.0,6.0,0.0,6.0
2009,26161,0.0,5.0,0.0,0.0,5.0
2009,27001,6.0,15.0,1.0,0.0,22.0
2009,27003,41.0,75.0,0.0,0.0,116.0
2009,27005,14.0,13.0,0.0,0.0,27.0
2009,27007,12.0,21.0,0.0,0.0,33.0
2009,27009,0.0,6.0,9.0,0.0,15.0
2009,27013,0.0,0.0,5.0,0.0,5.0
2009,27017,12.0,29.0,0.0,0.0,41.0
2009,27019,0.0,11.0,5.0,0.0,16.0
2009,27021,14.0,49.0,0.0,0.0,63.0
2009,27025,5.0,18.0,4.0,0.0,27.0
2009,27035,26.0,68.0,0.0,0.0,94.0
2009,27037,22.0,54.0,0.0,0.0,76.0
2009,27045,0.0,0.0,5.0,0.0,5.0
2009,27049,0.0,9.0,3.0,0.0,12.0
2009,27053,51.0,144.0,0.0,0.0,195.0
2009,27055,5.0,18.0,3.0,0.0,26.0
2009,27057,12.0,19.0,0.0,0.0,31.0
2009,27059,8.0,13.0,4.0,0.0,25.0
2009,27061,16.0,32.0,0.0,0.0,48.0
2009,27065,0.0,11.0,1.0,0.0,12.0
2009,27067,0.0,0.0,7.0,0.0,7.0
2009,27085,0.0,0.0,5.0,0.0,5.0
2009,27095,0.0,15.0,1.0,0.0,16.0
2009,27097,5.0,17.0,1.0,0.0,23.0
2009,27099,0.0,0.0,5.0,0.0,5.0
2009,27109,0.0,12.0,6.0,0.0,18.0
2009,27111,5.0,0.0,9.0,0.0,14.0
2009,27115,15.0,39.0,0.0,0.0,54.0
2009,27119,0.0,0.0,5.0,0.0,5.0
2009,27123,32.0,79.0,0.0,0.0,111.0
2009,27137,19.0,47.0,0.0,0.0,66.0
2009,27139,0.0,15.0,5.0,0.0,20.0
2009,27141,8.0,35.0,4.0,0.0,47.0
2009,27145,0.0,20.0,5.0,0.0,25.0
2009,27153,0.0,0.0,7.0,0.0,7.0
